price,location,type,size_sqm,bedrooms,bathrooms,available_from,payment_method,city,size_sqft,available_from_month
8000000,Red Sea,Chalet,68,2,1,2025.0,Cash,Hurghada,732,Aug
25000000,Giza,Villa,220,4,4,2025.0,Cash,Sheikh Zayed City,2368,Sep
15135000,North Coast,Chalet,118,2,2,2025.0,Cash,Ras Al Hekma,1270,Aug
12652000,Cairo,Apartment,166,3,2,2025.0,Installments,New Cairo City,1787,Aug
45250000,Cairo,Villa,400,7,7,2025.0,Cash,New Capital City,4306,Sep
19760000,North Coast,Chalet,126,3,2,2025.0,Installments,Al Alamein,1356,Aug
9000000,Cairo,Penthouse,262,4,5,2025.0,Installments,New Cairo City,2820,Jul
2770000,Giza,Villa,370,6,5,2025.0,Cash,6 October City,3983,Aug
13200000,North Coast,Twin House,220,3,3,2025.0,Cash,Ras Al Hekma,2368,Aug
22300000,Cairo,Duplex,195,4,2,2025.0,Installments,New Cairo City,2099,Aug
5000000,Giza,iVilla,220,4,4,,Installments,Sheikh Zayed City,2368,
9300000,Red Sea,Chalet,75,2,2,2025.0,Cash,Hurghada,807,Aug
10000000,North Coast,Apartment,140,3,1,2025.0,Cash,Qesm Marsa Matrouh,1507,Jul
20000000,North Coast,Chalet,160,3,3,2025.0,Installments,Qesm Marsa Matrouh,1722,Sep
3341100,Red Sea,Apartment,74,1,1,2025.0,Cash,Hurghada,797,Aug
18000000,Red Sea,Duplex,128,3,3,2025.0,Cash,Hurghada,1378,Sep
3150000,Cairo,Apartment,64,1,1,2025.0,Cash,New Cairo City,689,Aug
29310000,Red Sea,Chalet,150,4,4,2025.0,Installments,Hurghada,1615,Sep
14127000,North Coast,Chalet,72,2,1,2025.0,Installments,Qesm Ad Dabaah,775,Sep
16800000,North Coast,Chalet,150,3,3,2025.0,Cash,Qesm Marsa Matrouh,1615,Aug
9000000,Cairo,Apartment,125,3,3,2025.0,Installments,New Heliopolis,1345,Sep
9900000,Giza,Apartment,170,3,3,2025.0,Cash,6 October City,1830,Aug
14100000,North Coast,Chalet,100,3,1,2025.0,Cash,Ras Al Hekma,1076,Jul
14100000,North Coast,Chalet,147,4,3,2025.0,Cash,Ras Al Hekma,1582,Sep
5382000,Red Sea,Apartment,78,1,1,2025.0,Cash,Hurghada,840,May
11530000,Giza,Duplex,240,4,4,2025.0,Cash,Sheikh Zayed City,2583,Sep
28000000,North Coast,Twin House,187,3,3,2025.0,Cash,Ras Al Hekma,2013,Aug
3500000,Cairo,Apartment,45,1,1,2025.0,Installments,Madinaty,484,Aug
9085000,Cairo,Apartment,153,2,2,2025.0,Cash,Mostakbal City - Future City,1647,Jul
4000000,Giza,Townhouse,186,4,3,2025.0,Cash,6 October City,2002,Aug
18000000,North Coast,Chalet,102,3,2,2025.0,Cash,Sidi Heneish,1098,Sep
8000000,Cairo,Apartment,125,2,1,2025.0,Cash,New Cairo City,1345,Aug
3900000,Cairo,Apartment,125,3,2,2025.0,Cash,New Cairo City,1345,Aug
